"응답자특성별(1)","응답자특성별(2)",시점,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)","응답자특성별(2)",시점,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차
"학년별","고3",2023,7257,7.9,0.4,3742,11.4,0.7,3515,4.1,0.3
"학교급별","중학교",2014,36156,4.7,0.2,18563,6.8,0.2,17593,2.3,0.1
"학교급별","중학교",2015,34299,3.3,0.1,17858,4.8,0.2,16441,1.7,0.1
"학교급별","중학교",2016,32219,2.5,0.1,16742,3.5,0.2,15477,1.3,0.1
"학교급별","중학교",2017,30885,3.0,0.1,15652,4.1,0.2,15233,1.8,0.1
"학교급별","중학교",2018,30229,3.0,0.2,15328,3.9,0.2,14901,2.1,0.2
"학교급별","중학교",2019,29384,3.2,0.1,15401,4.0,0.2,13983,2.3,0.2
"학교급별","중학교",2020,28961,1.7,0.1,14830,1.9,0.1,14131,1.5,0.1
"학교급별","중학교",2021,30015,1.9,0.1,15586,2.1,0.1,14429,1.6,0.1
"학교급별","중학교",2022,28015,2.1,0.1,14183,2.3,0.1,13832,1.8,0.1
"학교급별","중학교",2023,28401,2.2,0.1,14388,2.4,0.2,14013,1.9,0.1
"학교급별","고등학교",2014,35904,13.5,0.5,17907,20.8,0.6,17997,5.6,0.3
"학교급별","고등학교",2015,33744,11.7,0.5,17346,18.3,0.6,16398,4.5,0.3
"학교급별","고등학교",2016,33309,9.5,0.4,17061,14.7,0.5,16248,3.8,0.3
"학교급별","고등학교",2017,31391,9.2,0.3,15972,13.9,0.4,15419,4.1,0.3
"학교급별","고등학교",2018,29811,9.8,0.4,15135,14.1,0.5,14676,5.1,0.3
"학교급별","고등학교",2019,27919,9.9,0.3,14440,14.2,0.4,13479,5.2,0.3
"학교급별","고등학교",2020,25987,7.1,0.3,13523,10.1,0.4,12464,3.8,0.3
"학교급별","고등학교",2021,24833,7.2,0.3,12815,10.0,0.4,12018,4.2,0.3
"학교급별","고등학교",2022,23835,7.1,0.3,12214,10.4,0.4,11621,3.6,0.2
"학교급별","고등학교",2023,24479,6.4,0.2,12381,9.0,0.4,12098,3.6,0.2
"지역별","서울",2014,10997,8.7,0.7,5537,13.1,0.8,5460,3.9,0.4
"지역별","서울",2015,9710,7.0,0.6,4846,10.7,0.8,4864,3.0,0.3
"지역별","서울",2016,9567,5.8,0.5,4804,8.5,0.7,4763,2.8,0.3
"지역별","서울",2017,9287,5.7,0.5,4541,8.2,0.5,4746,3.1,0.4
"지역별","서울",2018,8771,5.7,0.5,4402,7.9,0.6,4369,3.3,0.4
"지역별","서울",2019,8337,5.7,0.4,4210,8.2,0.7,4127,3.1,0.3
"지역별","서울",2020,7691,3.4,0.3,4067,4.2,0.4,3624,2.5,0.4
"지역별","서울",2021,7643,3.3,0.3,3855,4.6,0.5,3788,2.0,0.3
"지역별","서울",2022,7244,3.3,0.3,3541,4.4,0.5,3703,2.1,0.2
"지역별","서울",2023,7364,3.5,0.3,3684,4.8,0.5,3680,2.2,0.3
"지역별","부산",2014,4436,9.1,0.8,2300,13.5,1.2,2136,4.2,0.5
"지역별","부산",2015,4209,7.0,0.8,2159,9.9,1.1,2050,3.7,0.7
"지역별","부산",2016,3979,5.7,0.7,1957,8.5,0.9,2022,2.5,0.6
"지역별","부산",2017,3752,5.0,0.7,1738,7.9,1.0,2014,1.7,0.4
"지역별","부산",2018,3818,5.8,0.7,1882,8.8,0.9,1936,2.5,0.5
"지역별","부산",2019,3512,7.4,0.7,1872,10.2,1.1,1640,4.3,0.9
"지역별","부산",2020,3326,3.7,0.4,1714,4.5,0.5,1612,2.8,0.5
"지역별","부산",2021,3235,4.0,0.4,1754,5.4,0.7,1481,2.5,0.4
"지역별","부산",2022,2975,3.9,0.5,1573,5.5,0.7,1402,2.2,0.5
"지역별","부산",2023,3137,3.6,0.6,1572,5.5,1.0,1565,1.6,0.3
"지역별","대구",2014,3952,7.8,0.9,2063,11.8,1.3,1889,3.4,0.5
"지역별","대구",2015,3614,7.4,1.1,2081,12.3,1.4,1533,1.9,0.5
"지역별","대구",2016,3292,5.6,0.8,1806,9.3,1.2,1486,1.4,0.4
"지역별","대구",2017,3288,5.9,0.8,1707,9.2,1.2,1581,2.2,0.4
"지역별","대구",2018,3066,6.8,1.2,1473,10.4,1.7,1593,2.8,0.6
"지역별","대구",2019,2965,6.0,0.6,1612,8.7,1.2,1353,2.9,0.8
"지역별","대구",2020,2767,2.6,0.5,1577,4.3,0.9,1190,0.9,0.2
"지역별","대구",2021,2929,4.6,0.6,1471,6.9,1.1,1458,2.1,0.6
"지역별","대구",2022,2550,3.2,0.5,1370,4.4,0.7,1180,1.8,0.4
"지역별","대구",2023,2642,3.7,0.5,1411,4.4,0.7,1231,2.8,0.7
"지역별","인천",2014,4120,8.9,1.3,2091,13.6,2.1,2029,3.9,1.1
"지역별","인천",2015,3847,7.3,1.0,2104,11.2,1.5,1743,3.1,0.9
"지역별","인천",2016,3724,5.7,0.7,1971,9.1,1.1,1753,2.0,0.5
"지역별","인천",2017,3431,6.0,1.0,1809,9.0,1.6,1622,2.7,0.8
"지역별","인천",2018,3398,6.8,0.9,1802,9.9,1.6,1596,3.5,0.8
"지역별","인천",2019,3241,7.1,0.8,1812,10.2,1.4,1429,3.8,1.3
"지역별","인천",2020,3020,4.3,0.7,1632,6.8,1.2,1388,1.7,0.4
"지역별","인천",2021,3181,4.2,0.5,1628,5.8,0.8,1553,2.5,0.4
"지역별","인천",2022,2873,3.3,0.6,1449,4.6,0.8,1424,1.9,0.5
"지역별","인천",2023,2927,4.9,0.7,1543,6.4,1.0,1384,3.3,0.9
"지역별","광주",2014,3072,9.6,1.8,1544,14.7,3.1,1528,4.1,0.9
"지역별","광주",2015,2850,10.1,1.6,1364,14.4,2.4,1486,5.5,1.3
"지역별","광주",2016,2676,7.1,1.5,1310,11.3,2.0,1366,2.7,0.6
"지역별","광주",2017,2441,7.1,1.0,1156,10.5,1.3,1285,3.6,0.8
"지역별","광주",2018,2441,8.4,1.3,1148,12.8,1.8,1293,3.7,0.6
"지역별","광주",2019,2296,6.5,0.6,1109,8.3,0.8,1187,4.6,0.7
"지역별","광주",2020,2069,5.7,0.8,986,6.2,1.3,1083,5.2,0.9
"지역별","광주",2021,2197,6.7,0.7,1106,8.3,1.0,1091,5.1,0.9
"지역별","광주",2022,2015,7.0,0.7,1052,9.9,1.2,963,3.9,0.5
"지역별","광주",2023,2091,5.2,0.9,908,6.8,1.5,1183,3.5,0.5
"지역별","대전",2014,2966,8.5,1.1,1454,12.7,1.5,1512,4.0,1.0
"지역별","대전",2015,2656,7.0,1.1,1321,11.3,1.6,1335,2.4,0.5
"지역별","대전",2016,2682,6.2,1.1,1360,9.6,1.3,1322,2.5,0.6
"지역별","대전",2017,2377,5.1,0.8,1248,6.9,1.2,1129,3.2,1.0
"지역별","대전",2018,2273,5.9,1.1,1217,8.6,1.7,1056,2.9,0.5
"지역별","대전",2019,2184,6.8,0.9,1218,9.3,1.2,966,4.0,0.9
"지역별","대전",2020,2069,4.5,0.6,1127,6.0,0.8,942,2.8,0.7
"지역별","대전",2021,2101,4.6,0.9,1155,6.6,1.5,946,2.4,0.4
"지역별","대전",2022,1769,3.9,0.5,983,5.0,0.6,786,2.7,0.6
"지역별","대전",2023,1853,4.3,0.6,891,6.4,1.0,962,2.1,0.5
"지역별","울산",2014,2449,10.2,1.3,1179,14.6,1.9,1270,5.2,0.8
"지역별","울산",2015,2218,9.7,2.3,997,14.7,2.5,1221,4.1,1.8
"지역별","울산",2016,2114,5.1,0.8,1080,7.9,0.9,1034,1.9,0.5
"지역별","울산",2017,2121,7.5,1.5,1014,11.9,2.2,1107,2.7,0.7
"지역별","울산",2018,1943,7.5,0.9,1043,10.1,1.4,900,4.6,0.8
"지역별","울산",2019,1844,7.9,1.3,1070,10.9,2.0,774,4.6,1.3
"지역별","울산",2020,1779,5.0,1.5,975,6.2,1.3,804,3.8,1.8
"지역별","울산",2021,1774,3.7,0.9,971,5.4,1.5,803,1.9,0.5
"지역별","울산",2022,1741,4.9,0.6,787,6.8,1.2,954,2.7,0.8
"지역별","울산",2023,1664,4.5,0.7,818,5.8,1.0,846,3.0,0.6
"지역별","세종",2014,-,-,-,-,-,-,-,-,-
"지역별","세종",2015,935,6.6,1.3,495,10.8,1.8,440,2.2,0.6
"지역별","세종",2016,1012,6.3,1.1,518,10.3,2.0,494,2.3,0.6
"지역별","세종",2017,932,4.9,1.2,428,7.9,1.7,504,1.9,0.5
"지역별","세종",2018,944,6.5,1.2,482,7.9,1.4,462,5.1,1.6
"지역별","세종",2019,956,5.3,0.7,502,8.1,1.2,454,2.5,0.5
"지역별","세종",2020,900,4.2,1.3,475,5.7,2.2,425,2.6,1.0
"지역별","세종",2021,802,4.6,1.2,342,6.6,2.0,460,2.6,0.8
"지역별","세종",2022,1045,4.7,0.8,528,7.5,1.5,517,1.8,0.6
"지역별","세종",2023,1097,3.0,0.4,547,4.7,0.8,550,1.3,0.4
"지역별","경기",2014,15158,8.9,0.4,7312,13.1,0.6,7846,4.4,0.3
"지역별","경기",2015,14352,8.1,0.5,7232,12.1,0.7,7120,3.7,0.4
"지역별","경기",2016,13990,6.3,0.5,7076,9.1,0.6,6914,3.3,0.4
"지역별","경기",2017,13465,6.7,0.4,6854,9.6,0.6,6611,3.7,0.3
"지역별","경기",2018,12798,6.8,0.4,6364,9.1,0.5,6434,4.4,0.3
"지역별","경기",2019,12360,7.2,0.4,6254,9.3,0.5,6106,4.9,0.4
"지역별","경기",2020,12236,4.2,0.3,6297,5.6,0.4,5939,2.7,0.3
"지역별","경기",2021,11946,4.4,0.3,6087,5.7,0.4,5859,3.0,0.3
"지역별","경기",2022,11651,4.6,0.3,5954,6.1,0.5,5697,3.1,0.3
"지역별","경기",2023,11934,4.0,0.2,6086,5.0,0.4,5848,2.9,0.2
"지역별","강원",2014,2669,8.1,1.5,1463,14.2,1.5,1206,1.4,0.6
"지역별","강원",2015,2449,8.3,1.7,1266,13.7,2.6,1183,2.3,0.6
"지역별","강원",2016,2224,7.4,1.7,1227,11.6,2.5,997,2.8,0.9
"지역별","강원",2017,2219,7.8,1.6,1219,11.8,2.0,1000,3.5,0.9
"지역별","강원",2018,2262,7.7,1.5,1171,11.4,2.0,1091,3.7,1.1
"지역별","강원",2019,2056,6.3,1.0,1108,9.9,1.2,948,2.3,0.6
"지역별","강원",2020,2054,5.7,1.0,995,8.0,1.6,1059,3.1,0.7
"지역별","강원",2021,1998,6.1,0.8,1029,9.3,1.1,969,2.7,0.6
"지역별","강원",2022,1935,5.8,1.3,1010,9.6,1.9,925,1.8,0.4
"지역별","강원",2023,1895,5.0,0.8,1006,6.9,0.8,889,3.0,0.9
"지역별","충북",2014,2736,10.8,1.5,1298,17.1,1.8,1438,4.0,1.0
"지역별","충북",2015,2517,9.0,1.4,1229,13.7,2.0,1288,3.9,0.8
"지역별","충북",2016,2453,6.9,0.9,1196,10.7,1.3,1257,2.9,0.5
"지역별","충북",2017,2369,6.1,0.8,1149,9.2,1.0,1220,2.8,0.7
"지역별","충북",2018,2367,8.1,1.2,1207,10.1,1.6,1160,5.9,1.3
"지역별","충북",2019,2217,7.0,0.8,1153,10.3,1.3,1064,3.5,0.7
"지역별","충북",2020,2104,5.9,1.1,995,9.3,1.5,1109,2.1,0.5
"지역별","충북",2021,2113,7.3,1.0,1059,10.2,1.4,1054,4.3,0.7
"지역별","충북",2022,1941,6.1,0.9,957,9.0,1.3,984,3.0,0.4
"지역별","충북",2023,2001,5.1,0.8,1010,6.1,1.3,991,4.0,0.8
"지역별","충남",2014,3216,10.4,1.4,1648,16.3,1.5,1568,3.9,1.2
"지역별","충남",2015,3095,8.1,1.1,1798,12.0,1.7,1297,3.9,0.9
"지역별","충남",2016,2990,6.6,0.9,1653,9.2,1.8,1337,3.7,0.8
"지역별","충남",2017,2745,7.0,1.0,1453,10.9,1.4,1292,2.6,0.7
"지역별","충남",2018,2619,5.6,0.9,1370,7.6,1.2,1249,3.3,1.1
"지역별","충남",2019,2572,8.2,1.0,1300,10.9,1.4,1272,5.2,1.2
"지역별","충남",2020,2335,4.5,0.5,1212,6.7,0.9,1123,2.1,0.5
"지역별","충남",2021,2381,4.2,0.5,1179,5.2,0.7,1202,3.2,0.6
"지역별","충남",2022,2234,4.2,0.7,1205,5.5,1.1,1029,2.8,0.6
"지역별","충남",2023,2360,4.4,0.6,1220,5.8,0.9,1140,2.9,0.7
"지역별","전북",2014,3012,9.9,1.4,1550,14.3,1.8,1462,5.2,0.9
"지역별","전북",2015,2931,8.7,1.1,1584,12.5,1.1,1347,4.5,1.3
"지역별","전북",2016,3060,7.0,1.0,1746,10.3,1.4,1314,3.4,0.8
"지역별","전북",2017,2611,7.8,1.3,1458,11.9,1.8,1153,3.3,0.7
"지역별","전북",2018,2485,6.7,0.9,1310,8.4,1.4,1175,4.8,1.2
"지역별","전북",2019,2450,6.7,1.0,1220,8.7,1.2,1230,4.5,1.3
"지역별","전북",2020,2351,6.6,1.3,1229,10.2,2.0,1122,2.7,0.6
"지역별","전북",2021,2445,5.6,1.0,1338,7.2,1.3,1107,3.9,1.0
"지역별","전북",2022,2249,6.3,0.7,1221,8.4,0.8,1028,4.1,0.6
"지역별","전북",2023,2235,5.5,0.6,1103,7.7,1.0,1132,3.2,0.5
"지역별","전남",2014,3111,11.0,0.9,1608,17.9,1.4,1503,3.5,0.4
"지역별","전남",2015,2925,6.9,1.1,1542,12.2,1.5,1383,1.0,0.3
"지역별","전남",2016,2820,7.1,1.4,1427,11.3,2.1,1393,2.6,0.8
"지역별","전남",2017,2583,8.0,1.3,1220,12.1,2.0,1363,3.5,1.1
"지역별","전남",2018,2455,7.2,1.0,1177,10.9,1.7,1278,3.1,0.4
"지역별","전남",2019,2549,5.7,0.9,1359,8.7,1.2,1190,2.4,0.6
"지역별","전남",2020,2278,5.0,0.7,1034,6.7,1.1,1244,3.1,0.8
"지역별","전남",2021,2197,6.0,1.0,1097,7.5,1.4,1100,4.4,0.8
